gene_id	Phe-2B-Rep1_L1	Phe-2B-Rep1_L2	Phe-2B-Rep1_L3	Phe-2M-Rep1_L1	Phe-2M-Rep1_L2	Phe-2M-Rep1_L3	Phe-4B-Rep1_L1	Phe-4B-Rep1_L2	Phe-4B-Rep1_L3	Phe-4M-Rep1_L1	Phe-4M-Rep1_L2	Phe-4M-Rep1_L3
PH02Gene01764	15	36	20	32	22	21	42	37	40	71	28	26
PH02Gene01765	10	22	18	19	4	10	12	4	5	11	7	5
PH02Gene01766	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01767	2531	6739	3262	4817	2653	2118	3394	2507	2935	3043	1357	1722
PH02Gene01768	77	213	112	394	225	174	554	460	482	1140	482	635
PH02Gene01769	272	704	349	649	337	274	425	293	386	446	201	276
PH02Gene01770	217	612	305	580	293	257	261	198	225	282	130	172
PH02Gene01771	598	1573	774	1973	990	802	1080	740	932	4206	1867	2349
PH02Gene01772	627	1919	921	1324	631	559	1112	765	1008	1691	692	929
PH02Gene01773	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01774	3	10	2	9	2	3	12	12	10	0	0	0
PH02Gene01775	0	9	2	3	3	1	0	1	0	2	0	0
PH02Gene01776	993	2688	1334	2110	1145	960	1709	1149	1479	1553	627	850
PH02Gene01777	2602	6877	3461	7165	3922	3065	3928	2866	3525	5892	2651	3330
PH02Gene01778	1321	3457	1729	1870	1101	822	1220	917	1116	648	268	386
PH02Gene01779	89	303	124	315	134	120	200	180	200	324	119	177
PH02Gene01780	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01781	0	0	0	0	0	0	4	2	4	17	8	6
PH02Gene01782	38	103	52	71	43	31	61	62	67	295	145	173
PH02Gene01783	214	479	218	465	269	199	310	212	271	460	210	264
PH02Gene01784	108	277	127	267	161	91	189	148	200	307	116	168
PH02Gene01785	150	487	236	320	209	166	255	169	231	182	49	80
PH02Gene01786	0	0	1	0	0	0	0	0	0	0	1	0
PH02Gene01787	0	0	0	0	1	0	6	3	5	15	2	7
PH02Gene01788	3	34	11	29	23	18	20	12	13	9	4	2
PH02Gene01789	3	6	1	3	4	1	5	10	10	4	3	3
PH02Gene01790	15	46	22	40	24	15	28	22	25	171	65	60
PH02Gene01791	12	50	19	56	36	19	26	9	12	19	4	11
PH02Gene01792	369	946	475	902	494	396	536	445	473	667	263	408
PH02Gene01793	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01794	0	0	0	2	0	1	2	0	0	2	2	4
PH02Gene01795	95	197	83	94	47	65	73	70	67	141	60	29
PH02Gene01796	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01797	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01798	21	73	39	44	10	23	18	10	26	27	15	15
PH02Gene01799	76	228	121	255	142	132	457	366	405	405	183	211
PH02Gene01800	0	0	0	0	0	0	0	0	0	5	1	1
PH02Gene01801	510	1292	690	1206	625	581	1177	834	993	1667	683	1031
PH02Gene01802	0	0	0	0	0	0	0	0	3	0	0	0
PH02Gene01803	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01804	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01805	1505	4053	2007	3696	1929	1589	2263	1562	2000	2739	1139	1497
PH02Gene01806	988	2602	1283	2566	1441	1037	3904	2665	3405	7591	3476	4493
PH02Gene01807	161	404	181	398	208	185	523	426	483	650	283	431
PH02Gene01808	185	403	205	354	215	143	402	258	329	414	184	209
PH02Gene01809	145	359	194	367	215	183	337	241	288	357	185	229
PH02Gene01810	0	3	4	5	4	6	4	3	1	4	7	10
PH02Gene01811	521	1430	742	1957	1080	850	3439	2353	3023	5222	2284	2885
PH02Gene01812	437	1147	572	1462	757	595	1619	1141	1468	2372	1041	1384
PH02Gene01813	1024	2687	1319	2637	1425	1170	1916	1382	1775	2755	1206	1559
PH02Gene01814	275	803	419	517	285	246	248	175	252	195	94	108
PH02Gene01815	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01816	749	2045	1020	1833	1009	790	1042	821	962	1171	485	611
PH02Gene01817	0	0	0	0	1	0	0	0	1	1	2	1
PH02Gene01818	29	75	38	108	45	33	34	29	30	62	20	25
PH02Gene01819	0	0	0	0	1	1	0	2	0	5	1	2
PH02Gene01820	8	16	2	15	3	5	3	1	4	9	4	14
PH02Gene01821	25	58	24	51	49	17	54	49	54	83	57	46
PH02Gene01822	8	37	11	24	18	10	49	38	24	56	26	34
PH02Gene01823	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01824	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01825	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01826	345	983	458	906	409	383	624	434	527	931	408	567
PH02Gene01827	25	33	34	68	37	38	31	25	24	53	25	24
PH02Gene01828	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01829	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01830	114	285	179	196	99	87	161	119	122	129	54	58
PH02Gene01831	79	164	83	118	67	85	161	111	109	210	67	92
PH02Gene01832	87	210	112	192	112	98	130	119	95	149	56	82
PH02Gene01833	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01834	217	591	340	1320	689	514	3223	2338	2746	2737	1217	1559
PH02Gene01835	23	57	25	17	16	7	9	9	5	4	0	5
PH02Gene01836	1558	4476	2222	3830	2034	1700	1486	1145	1530	1356	588	755
PH02Gene01837	23	43	34	49	40	34	52	37	40	83	24	33
PH02Gene01838	272	673	344	429	211	198	344	239	301	364	144	168
PH02Gene01839	141	396	192	347	130	149	492	362	421	1233	503	615
PH02Gene01840	210	517	294	499	230	178	414	334	383	593	240	336
PH02Gene01841	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01842	3381	9128	4528	9336	4990	3888	4923	3658	4451	5307	2230	2993
PH02Gene01843	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01844	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01845	50	122	51	108	74	38	93	60	83	96	27	30
PH02Gene01846	1	1	1	0	0	0	2	1	0	3	3	1
PH02Gene01847	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01848	14	27	18	52	38	29	131	112	123	143	59	82
PH02Gene01849	19	21	22	28	14	14	25	14	28	30	12	18
PH02Gene01850	1271	3496	1746	3471	1945	1495	2436	1712	2064	3087	1416	1751
PH02Gene01851	225	628	337	715	329	310	712	513	664	1189	536	709
PH02Gene01852	276	760	405	571	287	224	370	222	306	403	187	194
PH02Gene01853	8	22	14	32	9	7	6	11	2	13	10	15
PH02Gene01854	0	0	2	0	0	1	1	3	1	0	0	0
PH02Gene01855	0	0	1	0	0	0	0	0	0	2	0	1
PH02Gene01856	540	1478	691	1375	710	560	1397	1002	1278	2953	1351	1627
PH02Gene01857	13	40	22	19	12	4	15	15	20	182	104	137
PH02Gene01858	19	77	31	76	37	36	75	38	75	128	60	83
PH02Gene01859	32	71	40	99	50	25	33	29	30	125	64	66
PH02Gene01860	529	1406	653	1506	844	654	954	633	745	1258	554	717
PH02Gene01861	2	11	3	7	7	3	9	5	3	1	2	1
PH02Gene01862	2	5	5	12	10	7	9	0	5	17	2	9
PH02Gene01863	66	191	99	146	46	46	124	69	81	84	44	41
PH02Gene01864	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01865	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01866	0	0	0	0	0	0	0	0	0	0	1	0
PH02Gene01867	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01868	1	1	0	0	0	0	2	1	1	0	0	0
PH02Gene01869	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01870	19	59	31	63	29	9	33	11	31	32	10	13
PH02Gene01871	57	121	73	141	70	57	90	43	74	100	29	58
PH02Gene01872	1	4	8	16	15	7	8	2	3	16	17	17
PH02Gene01873	4	9	4	1	3	0	0	3	3	14	4	5
PH02Gene01874	23	44	23	31	17	20	17	11	9	26	1	10
PH02Gene01875	195	509	237	734	367	274	622	406	519	1925	768	1079
PH02Gene01876	301	820	385	745	398	329	525	396	458	788	377	533
PH02Gene01877	107	290	147	292	128	119	195	144	181	185	70	86
PH02Gene01878	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01879	125	340	185	274	179	125	162	129	196	176	71	96
PH02Gene01880	294	675	364	575	275	289	276	201	222	332	114	145
PH02Gene01881	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01882	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01883	78	276	95	181	95	69	182	113	167	158	67	91
PH02Gene01884	1735	4707	2325	4049	2185	1766	2720	1912	2195	3553	1639	1965
PH02Gene01885	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01886	28	63	42	43	25	23	8	5	5	4	6	1
PH02Gene01887	120	299	184	202	158	100	124	68	105	65	38	60
PH02Gene01888	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01889	0	0	0	0	0	0	3	1	1	1	0	0
PH02Gene01890	1	11	6	6	2	8	0	2	2	1	0	0
PH02Gene01891	295	731	356	685	355	295	881	584	767	1206	552	741
PH02Gene01892	0	0	0	0	0	0	0	0	0	0	0	1
PH02Gene01893	117	406	203	307	190	178	182	96	102	267	114	130
PH02Gene01894	6	20	9	14	11	24	11	13	20	33	13	14
PH02Gene01895	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01896	34	90	33	315	173	131	194	156	172	679	276	378
PH02Gene01897	3	19	5	12	1	5	16	6	3	16	4	5
PH02Gene01898	28	65	31	46	33	16	24	19	23	9	1	3
PH02Gene01899	115	232	128	243	114	120	81	47	73	77	45	54
PH02Gene01900	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01901	192	513	274	429	250	189	369	276	294	374	158	206
PH02Gene01902	613	1678	890	978	525	438	423	281	353	231	95	124
PH02Gene01903	0	0	0	0	1	1	0	2	5	1	1	0
PH02Gene01904	56	180	74	115	61	40	89	87	83	103	36	60
PH02Gene01905	222	634	334	540	304	223	426	319	396	624	280	339
PH02Gene01906	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01907	4	4	9	61	20	16	105	76	71	520	227	286
PH02Gene01908	802	1918	1024	2960	1566	1296	5862	4200	5241	14006	5980	8020
PH02Gene01909	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01910	654	1776	882	1438	784	591	808	616	686	698	329	379
PH02Gene01911	84	226	89	276	157	85	84	72	110	144	84	80
PH02Gene01912	1	2	0	8	1	5	16	14	4	0	0	1
PH02Gene01913	61	168	80	118	81	64	94	66	68	99	44	56
PH02Gene01914	1	9	3	3	3	1	5	4	6	26	9	8
PH02Gene01915	75	232	118	208	107	89	161	115	191	217	101	144
PH02Gene01916	0	0	0	2	0	2	19	15	14	0	0	0
PH02Gene01917	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01918	10	11	12	50	32	22	82	42	46	126	68	104
PH02Gene01919	1	2	2	17	8	6	26	17	10	33	20	30
PH02Gene01920	220	554	280	562	334	236	337	233	285	407	129	203
PH02Gene01921	23	75	42	60	48	14	43	26	27	103	45	39
PH02Gene01922	0	0	0	1	0	0	2	0	2	109	56	54
PH02Gene01923	0	0	0	0	0	2	0	0	0	2	1	4
PH02Gene01924	4	17	4	28	26	23	109	98	95	244	135	132
PH02Gene01925	140	366	214	348	202	174	220	162	202	317	155	166
PH02Gene01926	465	1238	565	1236	681	593	925	643	857	1139	510	605
PH02Gene01927	100	232	112	269	142	90	108	78	93	36	15	26
PH02Gene01928	2	15	4	19	5	6	11	4	1	1	1	1
PH02Gene01929	55	132	65	130	65	68	81	77	94	66	31	29
PH02Gene01930	2174	5785	2835	3986	2068	1697	1769	1225	1512	685	236	347
PH02Gene01931	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01932	360	1052	550	1094	512	405	577	414	536	554	244	317
PH02Gene01933	0	0	0	0	0	0	0	0	0	1	0	0
PH02Gene01934	4	15	4	19	6	4	10	15	15	15	5	11
PH02Gene01935	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01936	4558	11997	5994	9376	4901	3869	2139	1702	2069	299	147	161
PH02Gene01937	365	951	463	850	437	351	511	403	461	570	234	309
PH02Gene01938	1187	3066	1571	1785	942	778	740	627	688	211	100	134
PH02Gene01939	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01941	89	194	101	164	71	68	169	123	139	259	147	164
PH02Gene01942	3	4	0	0	0	1	5	4	1	3	2	2
PH02Gene01943	0	0	0	0	0	0	2	2	4	0	0	0
PH02Gene01944	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01945	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01946	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01947	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01948	4	10	11	1	1	1	13	12	12	4	5	7
PH02Gene01949	60	135	52	112	75	52	63	42	52	84	35	46
PH02Gene01950	80	258	129	212	115	87	1199	921	1145	509	204	283
PH02Gene01951	1	6	6	4	3	1	3	0	2	0	0	0
PH02Gene01952	121	347	183	315	171	148	558	366	454	467	190	253
PH02Gene01953	147	389	170	476	273	180	569	370	455	497	181	235
PH02Gene01954	460	1183	634	1284	640	566	895	604	772	935	426	513
PH02Gene01955	85	201	81	142	89	75	132	94	127	311	110	138
PH02Gene01956	5	4	5	16	9	7	23	3	8	25	5	17
PH02Gene01957	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01958	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01959	0	0	0	0	0	0	0	5	0	0	0	0
PH02Gene01960	0	0	0	0	0	0	1	5	1	0	0	0
PH02Gene01961	8	16	12	19	10	8	14	12	19	7	4	6
PH02Gene01962	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01963	0	0	0	2	0	0	26	25	46	5	5	2
PH02Gene01964	74	210	136	102	41	36	51	59	24	10	2	6
PH02Gene01965	6	26	18	30	6	11	22	7	14	14	9	6
PH02Gene01966	8	14	5	27	14	3	2	1	1	1	0	0
PH02Gene01967	0	1	3	6	9	5	3	0	1	0	0	0
PH02Gene01968	183	658	294	629	315	267	337	256	267	384	177	261
PH02Gene01969	0	0	0	0	0	0	0	0	6	5	4	1
PH02Gene01970	0	0	0	3	0	0	5	1	0	8	2	4
PH02Gene01971	0	0	0	0	0	0	0	0	0	2	4	0
PH02Gene01972	86	217	100	168	88	69	111	83	84	128	52	58
PH02Gene01973	1	4	1	1	5	1	1	2	0	23	13	29
PH02Gene01974	144	410	192	363	181	137	232	173	173	157	62	75
PH02Gene01975	371	894	463	994	507	400	508	334	410	626	328	392
PH02Gene01976	18	27	25	70	50	29	72	34	60	90	35	56
PH02Gene01977	5	4	3	10	12	10	71	65	63	75	31	36
PH02Gene01978	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01979	3	3	6	6	4	0	6	2	6	0	0	0
PH02Gene01980	111	278	133	237	129	112	203	163	197	230	93	97
PH02Gene01981	6	7	5	3	1	2	4	0	3	2	0	0
PH02Gene01982	25	43	27	15	10	3	3	2	6	4	0	3
PH02Gene01983	15	37	22	70	25	29	16	10	14	31	8	17
PH02Gene01984	260	627	305	539	218	226	300	246	306	544	243	298
PH02Gene01985	930	2828	1336	2208	1171	941	1359	987	1204	1155	516	660
PH02Gene01986	707	1804	866	1570	846	655	1378	1026	1325	2375	1060	1331
PH02Gene01987	250	620	300	942	534	407	1741	1283	1637	1807	748	963
PH02Gene01988	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01989	84	317	144	547	297	265	811	620	619	427	175	236
PH02Gene01990	415	1069	477	748	417	313	517	409	482	675	300	346
PH02Gene01991	4	3	2	19	6	3	9	8	13	34	16	14
PH02Gene01992	212	538	271	450	228	179	304	194	271	332	138	211
PH02Gene01993	1	2	2	0	0	0	0	0	0	0	0	0
PH02Gene01994	673	1692	811	1433	804	621	1760	1311	1718	3188	1404	1853
PH02Gene01995	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene01996	0	0	0	0	0	0	0	1	0	56	27	33
PH02Gene01997	0	1	1	2	6	2	11	18	12	127	45	68
PH02Gene01998	14	50	17	98	41	29	505	275	404	7506	3348	4181
PH02Gene01999	406	1135	638	1098	548	480	874	625	781	1776	715	975
PH02Gene02000	0	0	1	0	0	0	0	0	0	0	0	0
PH02Gene02001	43	83	61	69	26	24	65	47	56	35	21	22
PH02Gene02002	20	59	32	72	58	34	42	25	27	53	11	23
PH02Gene02003	239	721	352	659	403	279	415	299	421	546	216	300
PH02Gene02004	175	472	224	508	272	251	406	266	388	392	151	196
PH02Gene02005	101	249	127	291	138	115	127	87	107	267	119	136
PH02Gene02006	0	0	0	0	0	0	1	0	1	0	0	0
PH02Gene02007	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02008	177	573	305	566	302	230	322	224	264	419	200	252
PH02Gene02009	22	57	21	23	15	10	6	8	10	12	3	7
PH02Gene02010	1	15	6	17	9	11	9	15	11	6	1	4
PH02Gene02011	17	34	20	24	23	7	20	15	30	14	5	5
PH02Gene02012	49	103	61	48	34	27	37	27	33	51	21	24
PH02Gene02013	1	4	0	10	3	1	6	3	7	6	3	3
PH02Gene02014	878	2498	1192	2519	1297	1065	1366	998	1255	1341	648	819
PH02Gene02015	0	6	2	2	0	2	3	2	0	17	11	5
PH02Gene02016	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02017	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02018	0	1	0	0	0	0	0	0	0	0	0	0
PH02Gene02019	31	61	34	40	37	34	50	22	31	49	21	41
PH02Gene02020	50	142	94	129	80	68	151	120	110	164	51	82
PH02Gene02021	0	1	0	1	0	1	1	2	0	7	1	8
PH02Gene02022	0	5	0	5	0	4	3	5	1	3	1	4
PH02Gene02023	251	763	371	695	373	277	505	418	503	744	345	438
PH02Gene02024	6	12	3	71	36	24	103	96	81	422	144	249
PH02Gene02025	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02026	27	69	38	144	69	62	100	51	80	389	186	270
PH02Gene02027	54	159	72	141	72	42	159	125	135	296	142	147
PH02Gene02028	35	121	49	78	32	28	109	79	102	26	15	18
PH02Gene02029	129	419	174	304	169	106	175	145	179	190	75	94
PH02Gene02030	0	0	0	0	3	0	1	0	2	0	0	0
PH02Gene02031	3	0	0	2	0	2	19	17	14	7	1	6
PH02Gene02032	102	289	112	246	129	93	450	373	417	735	314	392
PH02Gene02033	0	0	0	1	0	0	0	0	0	0	0	0
PH02Gene02034	317	941	455	838	437	334	604	457	532	528	244	236
PH02Gene02035	40	115	47	61	33	30	63	36	34	58	29	23
PH02Gene02036	8	26	8	3	2	4	54	30	24	16	13	10
PH02Gene02037	47	168	73	140	80	67	100	66	73	79	34	52
PH02Gene02038	4	28	10	9	6	8	1	5	8	10	7	7
PH02Gene02039	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02040	517	1319	659	1423	845	724	872	633	752	1209	608	729
PH02Gene02041	6	18	11	12	2	5	2	1	7	3	0	3
PH02Gene02042	215	668	308	512	306	181	390	310	342	434	202	231
PH02Gene02043	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02044	1	9	1	1	0	2	1	1	0	1	0	0
PH02Gene02045	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02046	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02047	110	353	164	309	158	146	251	194	253	383	182	214
PH02Gene02048	18	113	49	91	56	28	83	41	55	62	27	39
PH02Gene02049	1	4	8	3	0	0	0	0	0	1	0	0
PH02Gene02050	0	0	0	1	0	0	0	0	0	0	0	0
PH02Gene02051	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02052	12	40	14	65	17	10	37	25	28	29	13	14
PH02Gene02053	2	1	0	1	0	0	0	0	0	2	1	1
PH02Gene02054	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02055	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02056	0	1	0	0	0	0	0	0	0	0	1	0
PH02Gene02057	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02058	36	91	60	54	25	18	43	23	33	34	12	14
PH02Gene02059	307	778	374	483	237	233	171	104	122	94	40	31
PH02Gene02060	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02061	62	141	82	164	78	68	110	83	91	169	77	100
PH02Gene02062	436	1182	549	1104	559	462	554	430	477	469	164	229
PH02Gene02063	16	44	18	25	14	10	60	58	49	50	14	20
PH02Gene02064	27	90	34	86	46	18	34	26	42	195	79	99
PH02Gene02065	32	87	64	88	40	48	35	35	40	35	16	11
PH02Gene02066	33	77	35	48	15	15	69	41	62	116	51	68
PH02Gene02067	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02068	5	12	2	13	7	9	10	5	8	34	21	19
PH02Gene02069	659	1797	904	2012	1053	869	2478	1769	2206	4149	1804	2271
PH02Gene02070	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02071	488	1334	688	1250	653	525	791	593	729	1018	424	572
PH02Gene02072	5	15	10	12	6	11	23	14	21	56	25	39
PH02Gene02073	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02074	0	0	0	0	0	0	0	0	0	2	0	1
PH02Gene02075	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02076	8	22	7	8	1	2	2	0	3	0	0	0
PH02Gene02077	7	30	14	4	4	0	27	12	15	6	1	7
PH02Gene02078	4	26	16	14	8	6	23	17	19	79	44	42
PH02Gene02079	191	636	320	526	252	188	341	250	312	438	183	235
PH02Gene02080	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02081	152	384	253	1271	664	512	3288	2337	2971	3606	1615	2075
PH02Gene02082	145	385	207	530	253	213	398	298	373	662	267	255
PH02Gene02083	0	14	7	11	12	16	10	6	14	5	2	4
PH02Gene02084	0	0	0	2	1	0	0	0	0	7	0	3
PH02Gene02085	197	601	250	763	355	319	992	759	915	1130	476	556
PH02Gene02086	65	226	128	219	137	100	172	117	160	176	79	116
PH02Gene02087	602	1682	833	1204	685	470	912	698	883	693	266	399
PH02Gene02088	237	642	320	492	249	218	436	345	358	611	336	383
PH02Gene02089	61	144	77	123	62	57	77	72	81	58	25	15
PH02Gene02090	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02091	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02092	0	0	0	0	0	0	0	1	2	1	0	0
PH02Gene02093	238	540	312	857	467	385	531	423	500	859	353	495
PH02Gene02094	37	102	38	90	45	43	99	54	87	141	56	75
PH02Gene02095	256	727	343	529	316	227	136	85	98	33	8	15
PH02Gene02096	10	19	7	8	3	4	13	12	17	23	4	8
PH02Gene02097	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02098	28	63	22	37	18	17	26	21	15	13	6	6
PH02Gene02099	1126	3159	1503	2865	1481	1200	1501	1184	1403	1657	750	1018
PH02Gene02100	48	107	53	63	34	26	26	22	29	27	18	18
PH02Gene02101	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02102	7	16	7	14	5	5	7	1	2	0	1	4
PH02Gene02103	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02104	64	190	97	79	57	42	202	160	147	151	71	83
PH02Gene02105	1119	3156	1508	2464	1398	1063	988	687	859	175	83	81
PH02Gene02106	3273	8549	4292	7335	4061	3230	3773	2856	3316	3568	1437	1941
PH02Gene02107	853	2337	1266	1869	1005	815	1771	1246	1533	1610	684	913
PH02Gene02108	323	860	463	625	340	233	316	236	319	292	141	168
PH02Gene02109	2	9	9	0	0	3	1	0	1	130	72	65
PH02Gene02110	109	293	157	230	128	107	199	154	173	258	101	161
PH02Gene02111	279	794	374	678	343	266	422	278	383	381	172	200
PH02Gene02112	2	11	5	1	7	3	1	1	4	0	1	2
PH02Gene02113	57	173	58	186	87	64	182	120	167	564	235	317
PH02Gene02114	77	189	106	188	102	87	295	202	195	172	81	124
PH02Gene02115	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02116	0	0	0	1	0	0	4	4	3	4	0	3
PH02Gene02117	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02118	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02119	1035	2815	1423	2253	1222	964	1100	845	1094	741	266	423
PH02Gene02120	0	0	0	0	0	0	2	5	3	1	1	1
PH02Gene02121	4	18	10	23	11	3	36	16	19	9	3	6
PH02Gene02122	2979	7848	4046	6895	3646	2915	5027	3798	4538	7691	3401	4523
PH02Gene02123	19	57	39	67	34	23	62	41	45	95	36	57
PH02Gene02124	30	71	34	77	22	15	8	11	11	27	22	17
PH02Gene02125	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02126	468	1246	614	1151	651	508	922	683	781	1706	681	983
PH02Gene02127	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02128	310	786	415	768	414	291	1085	780	955	2492	1070	1456
PH02Gene02129	27	67	36	23	16	13	16	19	17	5	2	14
PH02Gene02130	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02131	47	127	58	101	47	37	116	85	111	426	187	230
PH02Gene02132	488	1423	699	1140	572	463	1623	1256	1433	2397	1138	1358
PH02Gene02133	677	1932	972	1990	1048	810	1314	1023	1267	1816	782	1000
PH02Gene02134	95	267	120	264	120	81	161	137	131	301	137	183
PH02Gene02135	2909	7684	3765	6224	3377	2646	4733	3447	4225	5984	2479	3265
PH02Gene02136	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02137	0	0	0	0	0	0	0	1	2	0	0	0
PH02Gene02138	224	673	285	426	203	181	166	121	144	152	42	51
PH02Gene02139	0	2	3	2	6	3	2	1	2	3	0	4
PH02Gene02140	178	470	241	355	207	161	185	162	182	184	56	85
PH02Gene02141	7	23	4	4	1	1	0	1	6	0	0	1
PH02Gene02142	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02143	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02144	27	69	26	43	8	13	23	16	12	31	10	13
PH02Gene02145	1	6	8	14	3	6	11	5	10	2	1	0
PH02Gene02146	785	2021	1034	1510	822	697	628	435	519	402	184	240
PH02Gene02147	12	35	12	48	26	15	9	8	12	0	1	0
PH02Gene02148	115	221	116	174	105	63	163	104	131	158	63	79
PH02Gene02149	397	1062	543	721	398	370	516	351	468	390	146	230
PH02Gene02150	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02151	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02152	2	7	1	14	1	4	0	0	0	109	44	78
PH02Gene02153	47	145	51	87	41	31	43	23	40	45	18	20
PH02Gene02154	425	1114	521	711	396	344	372	282	336	213	87	117
PH02Gene02155	398	1021	498	947	526	413	739	504	646	958	348	569
PH02Gene02156	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02157	89	282	137	254	106	98	198	151	170	125	45	69
PH02Gene02158	9	41	21	111	73	59	933	664	728	286	130	189
PH02Gene02159	0	1	0	4	3	0	1	1	3	15	7	7
PH02Gene02160	35	120	63	63	43	34	44	50	36	20	5	5
PH02Gene02161	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene02162	11	30	15	38	19	14	29	12	15	54	24	32
PH02Gene02163	1	2	0	0	0	1	0	0	0	1	0	1
PH02Gene02164	0	0	1	0	0	0	0	1	0	0	0	0
PH02Gene02165	152	478	227	508	245	193	278	174	209	275	134	178
PH02Gene02166	225	590	318	515	271	230	291	224	257	305	134	198
PH02Gene02167	0	0	3	1	6	0	0	0	0	29	7	11
PH02Gene02168	137	383	206	259	113	127	393	240	273	282	111	150
PH02Gene02169	14	29	19	25	24	8	13	10	13	14	2	9
PH02Gene02170	524	1332	639	983	460	383	476	398	475	320	127	170
